28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28058004Fuenlabrada (nº 5)                                                    19
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
14Ozono                      µg/m3     08Quimioluminiscencia        199700000003
30Benceno                    µg/m3     59Cromatografía de gases     00.000.00003
20Tolueno                    µg/m3     59Cromatografía de gases     00.000.00003
31Xileno                     µg/m3     59Cromatografía de gases     00.000.00003
42Carburos totales (como Hexamg/m3     02Ionización llama           2.000.000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28092005Móstoles (nº 6)                                                       13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             100000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28148004Torrejón de Ardoz (nº 7)                                              18
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
30Benceno                    µg/m3     59Cromatografía de gases     00.000.00003
20Tolueno                    µg/m3     59Cromatografía de gases     00.000.00003
31Xileno                     µg/m3     59Cromatografía de gases     00.000.00003
42Carburos totales (como Hexamg/m3     02Ionización llama           2.000.000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28007001Alcorcón (nº 8)                                                       13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28049001Coslada (nº 9)                                                        13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28051001Chapineria (nº 10)                                                    11
07Monóxido de nitrógeno      ug/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       ug/m3     08Quimioluminiscencia        191300000003
10Particulas en suspensión (<ug/m3     49Absorción beta             50.000.00003
14Ozono                      ug/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           60.000.00003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %HR       89                           00.000.00003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m2      89                           250000000003
89Precipitación              l/m2      89                           50.000.00003
28045002Colmenar Viejo (nº 11 )                                               12
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28080003Majadahonda( nº 12 )                                                  13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28013002Aranjuez (nº 13 )                                                     11
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28123001Rivas-Vaciamadrid (nº 14)                                             01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28027001Buitrago del Lozoya (nº 15)                                           01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28068001Guadarrama (nº 16)                                                    01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28133001San Martin de Valdeiglesias (nº 17)                                   01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
2806501201380205020100006V00008V00010V00008V00006V00011V00026V00028V*****N00019R00014V00015V00006V00004V00004V00004V00004V00008V00014V00010R00006V00006V00005V00006V
2806501207080205020100021V00106V00081V00048V00030V00068V00333V00441V*****N*****N00123V00142V00034V00031V00023V00020V00029V00098V00187V00068R00032V00019V00016V00020V
2806501208080205020100075V00092V00085V00076V00071V00080V00155V00183V*****N*****N00104V00123V00055V00051V00047V00051V00068V00103V00129V00101R00081V00060V00067V00071V
28065012064802050201000.4V000.8V000.7V000.5V000.4V000.7V003.1V003.6V*****N000.9V001.1V001.1V000.6V000.7V000.5V000.4V000.5V001.1V001.7V001.0R000.9V000.6V000.5V000.5V
2806501210490205020100078V00044V00056V00039V00029V00032V00041V00089V00147V00305V00159V00085V00104V00046V00034V00034V00031V00044V00053V00066V00053V00042V00026V00029V
2806501214060205020100006V00002V00002V00002V00002V00001V00002V00002V*****N*****N00011V00013V00037V00045V00047V00050V00026V00005V00003V00005R00008V00018V00006V00003V
2806501282890205020100070V00045V00022V00321V00299V00298V00306V00220V00101V00147V00220V00219V00275V00313V00288V00299V00304V00243V00107V00063V00091V00068V00074V00063V
28065012818902050201002.7V001.7V001.9V002.2V002.3V002.2V001.6V001.3V001.7V002.0V002.0V002.1V002.2V002.6V002.4V002.4V002.6V002.6V003.2V003.7V002.7V003.2V002.6V001.9V
28065012838902050201001.6V000.6V000.1V-00.3V-00.9V-00.9V-00.8V-00.7V000.3V001.8V003.9V006.7V008.5V009.7V011.1V012.1V011.9V010.4V009.2V008.5V006.9V006.3V005.4V004.6V
2806501286890205020100036V00046V00049V00053V00059V00058V00062V00065V00059V00049V00041V00034V00028V00023V00021V00020V00023V00028V00034V00045V00062V00066V00072V00082V
2806501287890205020100936V00936V00936V00936V00936V00936V00936V00936V00936V00936V00936V00936V00935V00934V00934V00933V00933V00933V00934V00934V00935V00935V00935V00935V
2806501288890205020100004V00004V00004V00004V00004V00004V00004V00004V00056V00210V00304V00346V00380V00346V00273V00171V00058V00004V00004V00004V00004V00004V00004V00004V
28065012898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050201000.2V000.1V000.2V000.1V000.1V000.1V000.9V003.2V001.3V000.1V001.5V000.2V000.2V000.1V000.1V000.1V000.1V000.1V000.6V000.4V000.2V000.5V000.1V000.1V
28065012205902050201000.6V000.7V001.0V000.7V000.6V000.3V001.7V005.8V002.9V000.4V001.8V001.7V001.4V000.4V000.3V000.3V000.3V000.4V000.9V001.1V000.6V000.7V000.3V000.3V
28065012315902050201001.0V000.9V003.5V004.6V000.9V000.8V004.5V005.6V002.6V000.8V001.3V001.0V001.0V000.8V000.8V000.8V000.8V000.8V001.3V002.9V000.9V003.0V004.1V016.5V
2807400701380205020100014V00010V00007V00006V00005V00012V00024V00032V00031V00039V00023V00016V00008V00006V00006V00006V00007V00011V00012V00013V00008V00010V00007V00005V
2807400707080205020100226V00132V00071V00047V00048V00229V00504V00650V00536V00537V00185V00098V00019V00014V00014V00016V00031V00101V00137V00132V00040V00099V00028V00007V
2807400708080205020100114V00086V00071V00064V00064V00102V00172V00211V00201V00238V00125V00099V00037V00030V00032V00037V00060V00098V00102V00106V00084V00085V00066V00051V
28074007064802050201001.6V001.1V000.9V000.7V000.9V001.8V003.5V004.6V003.4V003.0V001.3V001.0V000.6V000.6V000.6V000.6V000.7V001.1V001.2V001.5V000.9V001.1V000.8V000.5V
2807400710490205020100076V00066V00037V00038V00028V00025V00085V00250V00336V00174V00173V00090V00078V00033V00026V00032V00032V00068V00105V00086V00049V00031V00037V00024V
2807400714060205020100002V00002V00002V00002V00003V00003V00003V00004V00003V00003V00009V00018V00047V00054V00054V00049V00029V00006V00002V00002V00002V00005V00006V00012V
2807400782890205020100114V00179V00234V00255V00242V00242V00134V00143V00050V00073V00130V00204V00214V00248V00292V00265V00287V00294V00269V00079V00068V00141V00073V00096V
28074007818902050201000.8V001.0V000.9V001.1V001.2V000.8V000.6V000.7V001.2V001.1V001.9V001.7V001.4V001.8V001.8V001.8V001.8V001.5V001.2V001.5V002.1V001.2V001.5V001.2V
28074007838902050201000.6V-00.6V-01.7V-01.4V-01.5V-01.7V-02.1V-02.0V000.4V003.5V004.8V007.3V009.9V010.8V012.2V013.0V012.7V010.2V007.9V008.1V007.1V006.2V005.5V004.8V
2807400786890205020100061V00064V00066V00066V00065V00066V00067V00069V00060V00052V00050V00046V00038V00036V00034V00034V00036V00043V00052V00055V00059V00062V00064V00066V
2807400787890205020100934V00934V00934V00934V00934V00933V00934V00934V00934V00934V00934V00934V00933V00932V00932V00931V00931V00931V00932V00932V00933V00933V00933V00934V
2807400788890205020100004V00004V00004V00004V00004V00004V00004V00010V00117V00229V00337V00394V00423V00383V00302V00191V00064V00004V00004V00004V00004V00004V00004V00004V
28074007898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205020100015V00016V00006V00009V00011V00018V00020V00023V00028V00036V00033V00026V00013V00008V00009V00008V00013V00013V00016V00011V00015V00017V00010V00010V
2800500207080205020100018V00017V00012V00026V00099V00245V00271V00284V00216V00135V00082V00067V00042V00024V00031V00036V00081V00079V00044V00030V00033V00033V00041V00009V
2800500208080205020100056V00054V00045V00049V00063V00091V00092V00101V00085V00075V00068V00069V00057V00041V00057V00067V00098V00089V00059V00058V00066V00065V00066V00038V
28005002064802050201000.5V000.6V000.6V000.6V001.3V002.7V002.5V002.8V001.7V001.3V001.0V000.9V000.8V000.9V000.9V000.8V001.1V001.2V001.0V000.9V001.0V001.0V000.8V000.6V
2800500210490205020100057V00023V00045V00028V00027V00041V00073V00081V00090V00091V00084V00075V00063V00049V00036V00046V00048V00065V00061V00047V00033V00030V00024V00022V
2800500214060205020100004V00004V00005V00001V00002V00002V00002V00002V00003V00006V00013V00018V00028V00038V00035V00026V00008V00006V00016V00015V00005V00004V00003V00025V
2800500282890205020100119V00097V00170V00225V00169V00187V00200V00209V00120V00140V00124V00192V00265V00304V00294V00315V00326V00190V00057V00063V00097V00097V00164V00079V
28005002818902050201002.3V002.3V001.1V001.5V000.9V000.9V001.1V001.3V001.7V001.4V001.8V001.6V002.5V003.2V003.2V003.0V002.8V002.7V003.7V003.1V002.7V002.3V002.0V003.5V
28005002838902050201000.9V000.1V-01.0V-01.6V-01.6V-02.6V-03.1V-03.3V-00.9V002.1V004.5V007.4V008.8V010.5V012.2V013.1V013.2V011.3V010.1V008.4V006.8V006.0V004.8V005.2V
2800500286890205020100055V00058V00063V00068V00070V00075V00078V00081V00071V00062V00056V00044V00039V00036V00033V00031V00032V00042V00048V00055V00062V00065V00070V00068V
2800500287890205020100965V00965V00965V00965V00964V00965V00965V00965V00965V00965V00965V00965V00964V00963V00962V00962V00962V00962V00963V00963V00964V00964V00964V00964V
2800500288890205020100004V00004V00004V00004V00004V00004V00004V00006V00092V00209V00304V00361V00374V00340V00255V00151V00039V00004V00004V00004V00004V00004V00004V00004V
28005002898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205020100004V00003V00005V00001V00001V00001V00001V00001V00002V00005V00012V00016V00026V00037V00032V00025V00007V00005V00015V00014V00005V00004V00003V00024V
2800600401380205020100014V00016V00010V00009V00009V00009V00015V00017V00038V00036V00020V00023V00025V00017V00016V00011V00008V00014V00015V00013V00013V00011V00007V00008V
2800600407080205020100054V00036V00011V00028V00020V00049V00179V00174V00404V00352V00149V00148V00157V00083V00076V00037V00011V00037V00021V00012V00015V00012V00005V00003V
2800600408080205020100073V00063V00044V00061V00059V00070V00100V00102V00148V00143V00102V00121V00141V00108V00121V00096V00069V00089V00071V00064V00069V00065V00043V00031V
28006004064802050201000.8V000.8V000.7V000.7V000.7V000.9V001.7V001.8V002.2V001.8V001.3V001.5V001.4V001.1V001.2V001.0V000.8V000.9V000.7V000.7V000.7V000.6V000.5V000.5V
2800600410490205020100036V00047V00028V00020V00017V00017V00027V00042V00043V00223V00117V00085V00087V00101V00081V00075V00046V00035V00024V00016V00012V00016V00013V00011V
2800600414060205020100005V00010V00030V00012V00005V00006V00005V00006V00015V00008V00010V00012V00013V00018V00016V00023V00029V00012V00016V00018V00015V00014V00030V00040V
2800600482890205020100125V00153V00204V00324V00185V00258V00276V00276V00158V00120V00102V00141V00153V00197V00215V00247V00309V00106V00035V00069V00062V00097V00090V00045V
28006004818902050201001.4V001.6V001.1V001.5V001.4V001.3V001.3V001.5V001.2V001.9V002.1V002.2V002.3V002.3V002.7V002.9V002.3V002.8V003.5V002.9V003.6V002.8V003.2V003.3V
28006004838902050201-00.9V-01.0V-01.4V-02.1V-03.1V-03.7V-03.7V-02.8V-00.9V001.3V003.0V005.5V008.1V009.8V010.9V011.7V012.2V010.7V008.5V006.8V006.0V004.3V003.9V003.7V
2800600486890205020100057V00057V00059V00062V00065V00068V00069V00068V00063V00059V00057V00053V00048V00043V00041V00039V00038V00045V00055V00060V00061V00066V00066V00066V
2800600487890205020100950V00950V00950V00949V00949V00949V00949V00950V00950V00950V00950V00949V00948V00948V00948V00947V00947V00947V00948V00948V00949V00949V00949V00949V
2800600488890205020100004V00004V00004V00004V00004V00004V00004V00009V00120V00246V00356V00418V00433V00406V00318V00219V00090V00005V00004V00004V00004V00004V00004V00004V
28006004898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.3V000.0V000.0V000.0V000.0V
28006004305902050201001.2V001.1V001.0V001.0V001.1V001.1V002.0V002.9V005.3V006.8V002.2V002.0V002.3V002.0V001.8V001.7V001.3R*****N*****N002.6R001.7V001.4V001.1V001.0V
28006004205902050201018.5V013.5V010.5V012.1V013.4V012.6V012.1V014.0V031.6V041.6V011.0V013.2V013.2V010.1V008.2V007.8V005.0R*****N*****N001.1R003.1V004.0V003.1V002.3V
28006004315902050201010.4V007.5V005.5V005.3V006.1V005.4V007.1V009.9V022.3V029.8V007.0V005.2V006.3V006.6V005.0V004.5V002.4R*****N*****N001.3R002.1V002.5V001.8V001.3V
2800600442020205020109.36V09.00V07.64V08.53V08.79V07.95V08.17V07.66V12.08V09.49V*****N*****N*****N06.53V06.16V05.56V04.97V05.12V06.19V06.82V07.18V07.57V07.43V07.42V
2800600444020205020103.66V03.38V02.22V02.84V03.08V02.54V02.86V02.40V06.44V03.50V*****N*****N*****N01.69V01.57V01.17V00.89V01.20V01.54V01.65V01.74V01.87V01.71V01.72V
2805800401380205020100010V00008V00009V00009V00012V00010V00009V00017V00046V00043V00023V00010V00009V00007V00006V00007R00008V00010V00015V00017V00012V00008V00007V00007V
2805800407080205020100044V00017V00027V00011V00039V00022V00027V00165V00469V00363V00116V00015V00011V00007V00005V00005R00006V00012V00061V00090V00045V00017V00012V00013V
2805800408080205020100074V00066V00070V00062V00069V00064V00067V00105V00189V00173V00101V00037V00031V00025V00024V00027R00038V00057V00089V00097V00081V00065V00060V00066V
28058004064802050201000.4V000.3V000.4V000.3V000.4V000.5V000.7V002.0V003.6V001.8V000.8V000.2V000.2V000.2V000.1V000.1R000.2V000.3V000.8V001.1V000.6V000.3V000.3V000.3V
2805800410490205020100056V00035V00027V00027V00019V00036V00025V00038V00122V00227V00133V00106V00023V00026V00014V00019V00013V00020V00035V00044V00050V00034V00025V00016V
2805800414060205020100011V00002V00001V00002V00001V00001V00002V00006V00007V00002V00012V00033V00045V00057V00061V*****N00041V00013V00001V00001V00001V00006V00007V00002V
2805800482890205020100074V00130V00052V00224V00259V00282V00282V00205V00169V00158V00248V00286V00214V00215V00265V00270V00282V00276V00125V00080V00091V00095V00119V00190V
28058004818902050201002.3V001.6V002.2V002.0V001.6V001.9V001.7V000.9V001.5V002.0V002.3V002.4V002.3V002.0V002.2V002.3V002.6V002.3V002.0V003.0V003.0V003.0V002.4V001.6V
28058004838902050201003.0V002.1V002.0V001.7V000.8V000.8V001.5V002.2V003.8V004.0V006.0V008.1V010.0V011.4V012.2V012.8V012.6V010.5V009.7V009.2V007.7V007.2V006.1V005.1V
2805800486890205020100050V00054V00055V00057V00062V00062V00065V00068V00059V00056V00055V00050V00043V00037V00035V00036V00039V00046V00049V00053V00062V00064V00067V00071V
2805800487890205020100930V00930V00930V00929V00929V00929V00929V00929V00930V00930V00930V00930V00929V00928V00928V00927V00927V00927V00927V00928V00928V00928V00929V00929V
2805800488890205020100004V00004V00004V00004V00004V00004V00004V00015V00105V00205V00296V00368V00387V00355V00284V00171V00062V00004V00004V00004V00004V00004V00004V00004V
28058004898902050201000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205020100004V00004V00002V00004V00002V00004V00004V00002V00002V00002V00014V00036V00047V00060V00064V*****N00046V00018V00002V00001V00002V00010V00011V00005V
28058004305902050201002.6V000.6V002.0V000.6V000.8V000.9V001.1V002.4V012.4V007.5V004.5V001.3V000.4V000.3V000.3V000.3V000.3V000.4V000.9V002.3V001.6V001.1V000.6V001.2V
28058004205902050201011.4V006.1V014.8V005.3V008.4V008.7V005.4V021.0V106.5V071.9V058.8V013.6V001.9V000.9V001.2V001.2V000.8V001.1V010.6V015.3V011.9V006.3V003.6V008.1V
28058004315902050201068.5V019.6V014.4V003.2V004.8V005.7V003.8V016.0V096.6V081.7V040.1V008.9V001.1V000.6V001.2V000.5V000.4V000.5V007.2V013.6V013.1V005.9V003.5V005.1V
2805800442020205020114.20V11.93V11.71V11.21V11.91V11.43V11.22V13.50V19.39V15.36V11.85V09.43V09.07V08.82V08.76V08.81V09.26V10.16V11.07V11.40V11.08V10.56V10.70V11.07V
2805800444020205020100.69V01.36V01.26V01.12V01.32V00.93V01.06V03.17V08.46V05.06V02.87V01.67V02.03V02.18V02.21V02.20V01.58V01.17V01.76V01.98V01.71V01.36V01.29V01.34V
2809200501380205020100008V00006V00007R00005V00006V00006V00008V00022V00036V00021V00006V00004V00001V00001V00002V00001V*****N00004V00006V00007V00011V00012V00009V00005V
2809200507080205020100143V00083V00076R00089V00071V00076V00141V00302V00368V00126V00029V00016V00003V00001V00001V00003V*****N00017V00037V00075V00115V00096V00087V00083V
2809200508080205020100055V00046V00044R00042V00038V00039V00049V00075V00090V00055V00025V00018V00006V00005V00005V00008V*****N00031V00044V00053V00057V00052V00049V00046V
28092005064802050201001.9V001.6V001.5R001.5V001.5V001.7V002.7V003.7V003.1V001.9V001.3V001.2V001.1V001.1V001.1V001.1V*****N001.1V001.2V001.3V001.5V001.5V001.4V001.4V
2809200510490205020100054V00050V00040V00007V00003V00029V00032V00046V00100V00179V00065V00024V00021V00010V00008V00006V00006V00009V00003V00006V00011V00004V00035V00037V
2809200514060205020100001V00001V*****N00001V00001V00001V00001V00003V00006V00009V00027V00036V00057V00063V00065V00060V*****N00012V00004V00001V00001V00001V00001V00001V
2809200582890205020100269V00159V00248V00309V00220V00080V00097V00208V00178V00215V00214V00241V00243V00152V00248V00209V00227V00261V00324V00311V00187V00187V00193V00185V
28092005818902050201001.8V001.3V001.2V001.7V001.6V001.1V001.4V002.0V001.0V001.8V002.3V002.9V002.8V002.5V002.5V002.6V002.9V002.6V003.1V001.9V002.2V001.9V001.9V001.5V
28092005838902050201000.3V000.4V-00.0V-00.6V-02.0V-01.1V-00.1V-00.9V001.6V003.9V005.8V007.4V010.0V011.3V012.6V013.2V013.0V010.3V008.9V007.8V007.2V006.3V005.3V003.6V
2809200586890205020100063V00063V00064V00062V00068V00065V00062V00067V00059V00056V00050V00047V00037V00034V00032V00032V00033V00041V00046V00052V00054V00059V00062V00069V
