28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28058004Fuenlabrada (nº 5)                                                    19
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
14Ozono                      µg/m3     08Quimioluminiscencia        199700000003
30Benceno                    µg/m3     59Cromatografía de gases     00.000.00003
20Tolueno                    µg/m3     59Cromatografía de gases     00.000.00003
31Xileno                     µg/m3     59Cromatografía de gases     00.000.00003
42Carburos totales (como Hexamg/m3     02Ionización llama           2.000.000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28092005Móstoles (nº 6)                                                       13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             100000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28148004Torrejón de Ardoz (nº 7)                                              18
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
30Benceno                    µg/m3     59Cromatografía de gases     00.000.00003
20Tolueno                    µg/m3     59Cromatografía de gases     00.000.00003
31Xileno                     µg/m3     59Cromatografía de gases     00.000.00003
42Carburos totales (como Hexamg/m3     02Ionización llama           2.000.000003
44Hidrocarburos no metánicos mg/m3     02Ionización llama           2.000.000003
28007001Alcorcón (nº 8)                                                       13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28049001Coslada (nº 9)                                                        13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<µg/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28051001Chapineria (nº 10)                                                    11
07Monóxido de nitrógeno      ug/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       ug/m3     08Quimioluminiscencia        191300000003
10Particulas en suspensión (<ug/m3     49Absorción beta             50.000.00003
14Ozono                      ug/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           60.000.00003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %HR       89                           00.000.00003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m2      89                           250000000003
89Precipitación              l/m2      89                           50.000.00003
28045002Colmenar Viejo (nº 11 )                                               12
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28080003Majadahonda( nº 12 )                                                  13
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
06Monóxido de carbono        mg/m3     48Absorción infrarroja       65.000.00003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28013002Aranjuez (nº 13 )                                                     11
07Monóxido de nitrógeno      µg/m3     08Quimioluminiscencia        124800000003
08Dióxido de nitrógeno       µg/m3     08Quimioluminiscencia        191300000003
10Particulas en suspensión (<ug/m3     49Absorción beta             125000000003
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
82Dirección del viento       Vector    89                           036000000003
81Velocidad del viento       m/s       89                           50.000.00003
83Temperatura media          ºC        89                           60.0-0.00003
86Humedad relativa           %         89                           010000000003
87Presión barometrica        mB        89                           108808200003
88Radiación solar            v/m²      89                           250000000003
89Precipitación              l/m²      89                           50.000.00003
28123001Rivas-Vaciamadrid (nº 14)                                             01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28027001Buitrago del Lozoya (nº 15)                                           01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28068001Guadarrama (nº 16)                                                    01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
28133001San Martin de Valdeiglesias (nº 17)                                   01
14Ozono                      µg/m3     06Absorción ultravioleta     199700000003
2806501201380205030100003V00002V00002V00003V00002V*****N*****N00006V00008V00006V00007V00005V00006V00005V00005V00005V00006V00006V00006V00010V00013V00009V00007R00009V
2806501207080205030100001V00001V00001V00001V00003V*****N00013R00020V00029V00024V00031V00026V00032V00025V00029V00022V00025V00036V00029V00123V00092V00041V00024R00097V
2806501208080205030100011V00011V00009V00011V00015V*****N00039R00064V00072V00056V00057V00045V00046V00044V00046V00039V00048V00066V00074V00129V00127V00089V00077R00088V
28065012064802050301000.4V000.4V000.4V000.4V000.5V*****N000.6R000.9V000.9V000.8V000.7V000.6V000.8V000.8V000.8V000.9V000.7V001.0V000.8V001.7V001.6V001.0V001.0R001.0V
2806501210490205030100026V00012V00017V00014V00013V00019V00025V00025V00043V00050V00043V00050V00044V00046V00033V00033V00040V00038V00046V00060V00059V00061V00047V00055V
2806501214060205030100073V00072V00072V00070V00068V*****N*****N00033V00034V00043V00044V00054V00056V00067V00064V00064V00056V00046V00051V00005V00004V00008V00013R00004V
2806501282890205030100046V00046V00045V00047V00045V00046V00048V00052V00055V00061V00062V00073V00046V00075V00091V00129V00163V00152V00175V00097V00152V00192V00181V00192V
28065012818902050301007.4V006.3V005.6V005.3V005.9V005.8V006.1V006.0V005.3V005.1V004.4V004.2V004.1V003.3V002.8V002.5V002.0V001.6V001.2V001.1V001.5V002.0V001.4V000.8V
28065012838902050301-02.7V-02.7V-02.6V-02.6V-02.5V-02.5V-02.3V-02.1V-01.7V-00.6V001.6V003.9V005.7V007.4V008.4V008.9V008.0V007.7V007.1V006.9V006.8V005.8V005.4V004.6V
2806501286890205030100045V00045V00045V00045V00043V00043V00042V00041V00041V00039V00037V00034V00033V00029V00029V00030V00033V00035V00037V00038V00039V00047V00051V00055V
2806501287890205030100915V00915V00915V00915V00915V00915V00916V00916V00916V00917V00917V00917V00916V00916V00915V00915V00915V00915V00915V00916V00916V00917V00917V00917V
2806501288890205030100004V00004V00004V00004V00004V00004V00004V00028V00062V00181V00292V00505V00553V00517V00429V00280V00105V00032V00004V00004V00004V00004V00004V00004V
28065012898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050301000.1V000.1V000.1V000.3V000.1V000.2V000.1V000.5V000.4V000.3V000.3V000.2V000.2V000.2V000.8V000.4V000.2V000.4V000.5V000.9V001.9V001.0V000.7V000.6V
28065012205902050301000.3V000.3V000.3V000.3V000.4V000.4V000.3V001.4V001.7V001.4V001.1V000.8V000.9V001.2V002.6V001.4V001.0V001.8V002.0V004.8V010.3V004.2V003.5V002.8V
28065012315902050301004.0V004.1V000.9V015.3V001.3V000.8V000.8V022.2V040.9V005.1V017.4V008.7V001.5V001.5V011.8V001.4V002.1V001.5V001.4V003.3V008.9V003.0V002.2V002.0V
2807400701380205030100002V00002V00002V00002V00002V00002V00003R*****N00004V00005V00005V00005V00004V00003V00003V00003V00003V00003V00006V00010V00013V00006V00005V00004V
2807400707080205030100001V00001V00001V00001V00001V00005V00012R*****N00014V00012V00015V00018V00014V00009V00006V00008V00007V00013V00056V00140V00217V00027V00022V00045V
2807400708080205030100002V00002V00002V00003V00002V00019V00036R*****N00038V00031V00034V00034V00028V00021V00020V00024V00032V00048V00091V00126V00146V00087V00071V00078V
28074007064802050301000.5V000.5V000.5V000.5V000.5V000.7V000.8R*****N000.7V000.6V000.6V000.6V000.6V000.5V000.4V000.4V000.6V000.6V000.9V001.6V002.0V000.7V000.6V000.9V
2807400710490205030100016V00015V00019V00016V00015V00024V00019V00026V00027V00028V00026V00037V00047V00031V00024V00027V00031V00035V00035V00051V00111V00100V00043V00031V
2807400714060205030100077V00076V00076V00077V00075V00060V00048R*****N00050V00052V00052V00055V00063V00075V00077V00071V00063V00053V00018V00004V00004V00008V00010V00004V
2807400782890205030100046V00046V00047V00046V00047V00047V00047V00047V00052V00057V00062V00057V00068V00075V00119V00119V00119V00159V00225V00297V00226V00192V00204V00225V
28074007818902050301005.4V004.5V004.1V004.7V004.5V004.3V004.5V004.6V004.0V003.7V003.1V003.1V003.0V002.6V002.5V002.2V001.8V001.5V001.0V000.8V000.7V002.3V001.3V000.7V
28074007838902050301-05.8V-05.8V-05.6V-05.5V-05.3V-05.3V-05.1V-04.9V-04.0V-03.3V-01.5V000.7V002.8V004.3V005.2V005.5V005.1V004.5V004.0V003.2V003.0V003.1V002.4V001.0V
2807400786890205030100043V00044V00042V00041V00040V00039V00038V00037V00037V00036V00034V00032V00029V00026V00025V00026V00030V00032V00035V00038V00041V00043V00050V00055V
2807400787890205030100914V00914V00913V00913V00913V00913V00914V00914V00915V00915V00915V00915V00915V00914V00914V00913V00913V00914V00914V00914V00914V00915V00915V00915V
2807400788890205030100004V00004V00004V00004V00004V00004V00004V00031V00237V00207V00329V00531V00612V00571V00480V00309V00111V00029V00004V00004V00004V00004V00004V00004V
28074007898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205030100005V00005V00005V00004V00005V00007V00006V00006V00007V00008V00008V00007V00007V00006V00006V00006V00006V00006V00007V00016V00014V00013V00031V00032V
2800500207080205030100003V00004V00003V00004V00007V00013V00016V00019V00016V00017V00015V00011V00013V00014V00016V00006V00010R00019V00025V00078V00048V00036V00110V00046V
2800500208080205030100004V00005V00004V00004V00014V00027V00033V00038V00028V00024V00021V00016V00017V00018V00025V00013V00029R00051V00080V00107V00095V00079V00093V00072V
28005002064802050301000.7V000.7V000.7V000.7V000.8V000.9V001.0V001.1V000.9V000.8V000.8V000.7V000.8V000.7V000.8V000.7V000.7R000.9V001.1V001.7V001.4V001.3V001.6V001.1V
2800500210490205030100023V00013V00016V00011V00009V00017V00024V00018V00028V00032V00026V00029V00025V00021V00024V00032V00025V00025V00027V00041V00063V00029V00037V00065V
2800500214060205030100063V00061V00060V00061V00056V00042V00040V00035V00046V00049V00056V00065V00074V00077V00076V00082V*****N00048V00018V00002V00003V00005V00001V00001V
2800500282890205030100069V00068V00069V00068V00069V00074V00069V00069V00073V00069V00068V00057V00057V00123V00186V00197V00236V00266V00204V00165V00169V00142V00098V00075V
28005002818902050301006.0V005.2V005.4V005.4V005.0V005.3V004.9V005.1V005.2V004.8V004.2V003.6V003.7V003.4V002.9V002.6V002.2V002.2V001.3V001.1V001.3V001.3V001.7V002.2V
28005002838902050301-06.0V-06.1V-06.2V-06.3V-06.2V-06.3V-06.2V-06.0V-04.7V-02.5V000.3V003.2V004.7V005.5V006.2V006.6V006.9V005.4V004.8V004.3V003.6V003.0V001.8V000.3V
2800500286890205030100047V00049V00049V00049V00047V00047V00045V00045V00040V00035V00029V00023V00019V00017V00017V00017V00018V00022V00027V00032V00039V00041V00041V00038V
2800500287890205030100945V00945V00945V00944V00944V00944V00945V00945V00946V00946V00946V00945V00945V00944V00944V00944V00943V00944V00944V00945V00945V00945V00945V00945V
2800500288890205030100004V00004V00004V00004V00004V00004V00004V00028V00207V00371V00485V00560V00560V00535V00442V00308V00154V00004V00004V00004V00004V00004V00004V00004V
28005002898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205030100061V00058V00058V00058V00053V00039V00038V00032V00043V00046V00053V00062V00070V00073V00072V00079V*****N00045V00017V00001V00002V00005V00001V00001V
2800600401380205030100007V00006V00006V00007V00007V00007V00008V00009V00008V00008V00008V00009V00009V00008V00008V00007V00007V00008V00009V00011V00013V00016V00012V00012V
2800600407080205030100005V00004V00005V00004V00004V00005V00009V00014V00011V00012V00010V00010V00008V00009V00007V00006V00007V00007V00011V00029V00091V00100V00048V00044V
2800600408080205030100014V00014V00014V00013V00021V00023V00049V00061V00042V00034V00030V00029V00027V00026V00024V00024V00029V00055V00086V00105V00121V00121V00101V00093V
28006004064802050301000.8V000.8V000.8V000.8V000.8V000.8V001.1V001.3V001.1V001.0V001.1V001.1V001.0V001.0V001.0V001.0V001.0V001.0V001.0V001.2V001.4V001.5V001.1V001.1V
2800600410490205030100011V00009V00008V00011V00013V00011V00007V00018V00030V00031V00021V00014V00014V00011V00010V00016V00016V00018V00024V00038V00030V00049V00088V00041V
2800600414060205030100088V00085V00084V00083V00073V00072R00047R00044V00063V00071V00074V00078V00086V00088V00092V00093V00087V00061V00033V00019V00008V00008V00009V00009V
2800600482890205030100047V00052V00057V00046V00052V00047V00058V00056V00052V00046V00057V00074V00057V00068V00096V00107V00107V00154V00252V00253V00242V00198V00124V00167V
28006004818902050301005.6V005.2V004.7V004.1V004.2V004.6V004.1V004.5V005.2V005.5V005.2V004.5V004.3V003.8V003.2V002.8V002.2V001.9V001.4V001.7V000.8V001.2V001.4V001.1V
28006004838902050301-07.7V-08.0V-07.6V-07.7V-07.7V-07.3V-07.0V-06.5V-05.1V-03.5V-01.7V000.3V001.6V002.8V003.6V004.3V004.6V002.9V002.4V002.4V001.2V000.6V-00.1V-00.9V
2800600486890205030100042V00044V00043V00044V00043V00039V00038V00036V00034V00032V00032V00028V00021V00018V00019V00020V00020V00024V00025V00026V00034V00043V00043V00048V
2800600487890205030100930V00930V00930V00930V00930V00930V00930V00931V00931V00931V00931V00931V00931V00930V00929V00929V00929V00929V00930V00930V00930V00931V00931V00931V
2800600488890205030100004V00004V00004V00004V00004V00004V00004V00035V00258V00441V00557V00647V00658V00635V00543V00400V00205V00014V00004V00004V00004V00004V00004V00004V
28006004898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050301001.0V000.9V000.9V000.9V000.9V001.0V001.2V001.7V001.5V001.2V001.1V001.2V001.1V001.0V001.0V001.0V001.0V001.1V001.2V001.6V001.8V001.9V001.7V001.6V
28006004205902050301000.9V000.8V000.7V000.7V000.7V001.0V001.6V003.3V002.7V002.0V001.8V001.7V001.5V001.4V001.6V001.3V001.6V001.8V002.7V005.8V009.2V016.4V013.6V007.4V
28006004315902050301000.5V000.4V000.4V000.4V000.4V000.5V000.9V002.1V001.9V001.3V001.0V000.9V000.7V000.7V000.7V000.6V000.7V001.0V001.1V002.8V005.7V010.0V009.4V004.1V
2800600442020205030105.47V05.35V05.34V05.69V05.91V05.93R06.44V06.51V06.42V05.89V05.67V05.60V05.46V05.34V05.20V05.15V05.11V05.24V05.53V05.70V06.99V07.77V06.46V06.78V
2800600444020205030102.74V02.74V02.80V03.13V03.38V03.34R03.77V03.77V03.44V03.06V02.96V02.92V02.89V02.88V02.85V02.84V02.91V03.04V03.35V03.56V04.93V05.72V04.07V04.16V
2805800401380205030100006V00006V00006V00006V00006V00007V00008V00011V*****N*****N00011V00008V00009V00008V00007V00007V00007V00007V00008R00009V00009V00007V00008V00008V
2805800407080205030100001V00001V00001V00001V00003V00009V00023V00038V*****N*****N00026V00021V00019V00009V00008V00007V00005V00004V00004R00011V00014V00004V00003V00002V
2805800408080205030100011V00010V00010V00011V00017V00031V00055V00063V*****N*****N00052V00042V00040V00028V00029V00029V00031V00036V00042R00074V00085V00051V00041V00040V
28058004064802050301000.2V000.2V000.2V000.2V000.2V000.4V000.6V000.6V*****N*****N000.4V000.3V000.3V000.3V000.3V000.2V000.2V000.3V000.3R000.4V000.5V000.3V000.3V000.3V
2805800410490205030100018V00011V00009V00007V00006V00007V00015V00017V00037V00034V00035V00042V00032V00027V00024V00025V00021V00021V00026V00024V00035V00032V00037V00023V
2805800414060205030100074V00074V00074V00073V00067V00054V00033V00028V*****N*****N00041V00051V00057V00072V00071V00071V00069V00061V00054R00030V00014V00026V00036V00040V
2805800482890205030100074V00068V00068V00069V00074V00069V00069V00069V00074V00074V00085V00108V00113V00124V00185V00175V00208V00215V00221V00199V00176V00237V00198V00179V
28058004818902050301005.7V005.2V005.2V004.9V004.8V005.0V004.9V005.1V005.1V004.6V004.3V003.8V003.8V003.5V002.8V002.1V002.4V002.0V001.6V001.4V002.2V002.2V001.7V001.5V
28058004838902050301-04.9V-04.9V-04.8V-04.8V-04.6V-04.7V-04.4V-04.3V-03.7V-02.8V-01.0V001.3V003.1V004.1V005.0V005.4V005.2V005.1V004.3V004.3V004.1V002.6V002.7V002.5V
2805800486890205030100043V00043V00042V00042V00040V00040V00039V00038V00038V00037V00034V00031V00030V00028V00027V00028V00031V00033V00036V00036V00038V00051V00053V00055V
2805800487890205030100909V00909V00909V00909V00909V00909V00909V00910V00910V00911V00911V00911V00910V00910V00909V00909V00909V00909V00909V00910V00910V00911V00910V00910V
2805800488890205030100004V00004V00004V00004V00004V00004V00004V00016V00090V00183V00313V00524V00546V00510V00428V00267V00137V00033V00004V00004V00004V00004V00004V00004V
28058004898902050301000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205030100071V00070V00070V00070V00064V00050V00031V00025V*****N*****N00038V00049V00054V00068V00069V00068V00066V00060V00053R00030V00014V00026V00036V00038V
28058004305902050301000.3V000.3V000.3V000.3V000.3V000.6V001.2V001.3V001.3V001.3V001.1V001.0V000.7V000.8V000.6V000.5V000.5V000.6V000.7V000.6V000.9V001.0V000.7V000.6V
28058004205902050301000.4V000.2V000.3V000.3V000.3V000.9V002.3V002.7V002.7V003.2V002.9V002.8V001.8V002.5V004.2V010.0V012.6V009.2V022.2V005.3V008.9V007.2V004.8V004.5V
28058004315902050301000.2V000.2V000.2V000.1V000.2V000.7V001.8V003.6V003.5V003.5V002.6V001.7V000.8V000.8V001.6V003.7V004.9V004.0V013.4V004.2V007.3V005.1V003.5V004.7V
2805800442020205030109.44V09.36V09.18V09.17V09.29V09.39V09.66V09.71V10.05V10.81V09.82V09.53V09.05V09.26V09.23V09.26V09.26V09.69V09.63V09.87V10.24V10.10V09.99V10.06V
2805800444020205030100.09V00.19V00.41V00.40V00.35V00.54V00.66V00.65V00.88V00.59V00.12V00.16V00.60V00.74V00.84V00.90V00.34V00.43V00.09V00.11V00.21V00.07V00.07V00.10V
2809200501380205030100004V00004V00002V00004V00007V00006R00005V00011V00012V00014V00018V00015V00015V00005V00007V00007V00005V00005V00003V00007V00014V00011V00009V00005V
2809200507080205030100004V00003V00003V00003V00003V00006R00011V00021V00026V00023V00026V00029V00026V00017V00013V00014V00012V00010V00010V00063V00082V00014V00010V00009V
2809200508080205030100004V00004V00004V00004V00004V00008R00014V00023V00024V00021V00020V00020V00019V00015V00013V00015V00014V00013V00016V00049V00052V00019V00017V00016V
28092005064802050301000.5V000.5V000.5V000.5V000.5V000.5R000.6V000.7V000.8V000.8V000.7V000.7V000.7V000.6V000.5V000.5V000.5V000.5V000.5V000.9V000.9V000.6V000.5V000.5V
2809200510490205030100018V00013V00016V00012V00011V00010V00011V00017V00021V00026V00034V00029V00028V00029V00022V00023V00030V00024V00033V00028V00048V00047V00028V00027V
2809200514060205030100067V00067V00068V00069V00070V00060R00050V00035V00038V00044V00044V00048V00053V00064V00068V00064V00062V00062V00051V00009V00005V00038V00039V00041V
2809200582890205030100024V00023V00023V00025V00025V00024V00024V00024V00029V00030V00039V00045V00046V00064V00061V00125V00096V00124V00157V00298V00291V00129V00120V00086V
28092005818902050301006.5V005.5V005.9V006.1V006.3V005.9V006.0V005.8V006.0V005.3V004.0V004.1V004.1V003.9V003.1V002.8V002.4V002.2V001.5V001.6V001.4V003.0V001.8V001.6V
28092005838902050301-05.1V-04.9V-04.8V-04.4V-04.0V-04.2V-04.2V-03.9V-03.2V-02.3V-00.8V001.3V003.1V004.2V005.1V004.8V005.1V005.0V003.9V003.6V003.6V002.8V002.3V002.3V
2809200586890205030100036V00036V00036V00033V00031V00031V00031V00031V00031V00031V00030V00028V00025V00023V00023V00024V00026V00029V00032V00033V00033V00044V00048V00048V
